#;Industry;;Sub-Industry;;Solution Area;
1;Aerospace;1;3PL;2;3D-Design;3
2;Agriculture;1;AAA Games;2;3D-Modeling;3
3;Architecture;1;Acceleration Programs;2;3D-Printing;3
4;Art;1;Accelerator;2;Accessibility;3
5;Automotive;1;Access Management;2;Ad-Tech;3
6;Aviation;1;Accommodation;2;Advertising;3
7;Beauty;1;Accounting;2;Advisory;3
8;Biotechnology;1;Accounting and Taxes;2;Agency;3
9;Building;1;Activity Pad;2;Aggregator;3
10;Chemistry;1;Additives;2;Agri-Tech;3
11;Consumer & Goods;1;Advanced Materials;2;Analytical Services;3
12;E-Commerce;1;Adventure;2;Analytics;3
13;Education;1;Advertising & Marketing;2;API;3
14;Energy;1;Affiliate Marketing;2;AR/VR;3
15;Entertainment;1;After Sales Services;2;Artificial Intelligence;3
16;Finance;1;Agile Management;2;Artificial Intelligence as a Service ( AIaaS);3
17;FMCG;1;Agile Manufacturing;2;Assessment;3
18;Gaming;1;Air Conditioning;2;Assistive-Tech;3
19;Government;1;Aircraft;2;Audio-Tech;3
20;Healthcare;1;Algae;2;Augmented Reality;3
21;Human Resources;1;Alternative Medicine;2;Auto-Tech;3
22;Information Technology;1;Animal Health;2;Automation;3
23;Insurance ;1;Animation;2;Autonomous;3
24;Legal;1;Anodization Services;2;Aviation-Tech;3
25;Logistics;1;Anti Money Laundering ( AML );2;BaaS (Banking as a Service);3
26;Manufacturing;1;Antivirus;2;Beauty-Tech;3
27;Marketing;1;Apparel;2;Big Data;3
28;Media;1;Appliances;2;Bio-Tech;3
29;Mobile;1;Application Builder;2;Business Intelligence;3
30;Oil;1;Application Development;2;Clean-Tech;3
31;Other;1;Application Marketing;2;Climate-Tech;3
32;Productivity;1;Aqua Culture;2;Cloud-Tech;3
33;Property;1;Aquaculture;2;Comparison;3
34;Retail;1;Aquarium;2;Construction-Tech;3
35;Security;1;Arcade Gaming;2;Consulting;3
36;Service;1;Aromatherapy;2;Corporate;3
37;Social;1;Assembly;2;Data;3
38;Sports;1;Asset Management;2;Data Analytics;3
39;Telecommunications;1;Assistance;2;Data-Tech;3
40;Textile;1;Astrology;2;Deep-Tech;3
41;Tourism;1;ATM Services;2;Design-Tech;3
42;;;Auction;2;Desktop app;3
43;;;Audio Production;2;Edu-Tech;3
44;;;Audio Streaming;2;Electronics;3
45;;;Audit Advisory;2;Energy-Tech;3
46;;;Autonomous Delivery Robot;2;Enterprise;3
47;;;Autonomous Vehicles;2;Fin-Tech;3
48;;;Avionics;2;Food-Tech;3
49;;;Baby Care;2;Game-Tech;3
50;;;Baby Toddler;2;Generative AI;3
51;;;Banking;2;Green-Tech;3
52;;;Barcode Systems;2;Hardware;3
53;;;Battery;2;Health-Tech;3
54;;;Battery Monitoring System;2;HoReCa;3
55;;;Beauty & Cosmetics;2;Hr-Tech;3
56;;;Betting;2;IaaS;3
57;;;Beverages;2;Image Processing;3
58;;;Billing/Invoicing;2;Image Recognition;3
59;;;Biochemicals;2;Industry 4.0;3
60;;;Biocomposite;2;Insur-Tech;3
61;;;Biodegradable;2;Internet of Things;3
62;;;Bioelectronic;2;Legal-Tech;3
63;;;Bioengineering;2;Machine Learning;3
64;;;Bioinformatics;2;Manufacturing-Tech;3
65;;;Biology;2;Mar-Tech;3
66;;;Biomaterials;2;Marine-Tech;3
67;;;Biomedical;2;Marketplace;3
68;;;Biometrics;2;Metaverse;3
69;;;Blockchain;2;Mining-Tech;3
70;;;Blog;2;Mixed Reality;3
71;;;Book;2;Mobility;3
72;;;Brand Management;2;NGOs;3
73;;;Brand Strategy;2;Non-Profit;3
74;;;Branding;2;NPOs;3
75;;;Broadcasting;2;On Demand;3
76;;;Building Information Modeling;2;PaaS;3
77;;;Building Materials;2;Platform;3
78;;;Business Advisory;2;Predictive Analytics;3
79;;;Business Compliance;2;Prop-Tech;3
80;;;Business Consultancy;2;Reg-Tech;3
81;;;Business Development;2;Retail-Tech;3
82;;;Business Management;2;RFID;3
83;;;Business Planning / Continuity;2;Robotics;3
84;;;Business Process Management (BPM);2;SaaS;3
85;;;Business Process Outsourcing (BPO);2;Sharing Economy;3
86;;;Cables;2;SME;3
87;;;Call Center Management;2;Sustainability;3
88;;;Campaign Management;2;Tracking;3
89;;;Campervan Renting Platform;2;Unmanned Vehicles;3
90;;;Capital Markets;2;Virtual Reality;3
91;;;Car pooling sharing;2;Wallet;3
92;;;Car Rental;2;Water-Tech;3
93;;;Car Sharing;2;Wearables;3
94;;;Carbon;2;;
95;;;Carbon Credits;2;;
96;;;Carbon Management Platform;2;;
97;;;Carbon Offset;2;;
98;;;Career;2;;
99;;;Caring;2;;
100;;;Casual Games;2;;
101;;;CCTV;2;;
102;;;Certification;2;;
103;;;CFO Services;2;;
104;;;Chatbot;2;;
105;;;Chemicals;2;;
106;;;Cinema;2;;
107;;;Classifieds;2;;
108;;;Cleaning;2;;
109;;;Clinical Information System;2;;
110;;;Clinical Research;2;;
111;;;Cloud Computing;2;;
